Vector Configuration, Seconds, # Data Comparisons, # Loop Comparisons, # Data Assignments, # Loop Assignments, # Other, # Total
Sorted N=500,7e-06, 0, 999, 501, 499, 0, 1999
Sorted N=1000,1.4e-05, 0, 1999, 1001, 999, 0, 3999
Sorted N=5000,4.3e-05, 0, 9999, 5001, 4999, 0, 19999
Sorted N=10000,8.5e-05, 0, 19999, 10001, 9999, 0, 39999
Descending N=500,0.002308, 0, 125250, 497505, 499, 0, 623254
Descending N=1000,0.010794, 0, 500500, 1995005, 999, 0, 2496504
Descending N=5000,0.264731, 0, 12502500, 49975005, 4999, 0, 62482504
Descending N=10000,1.05385, 0, 50005000, 199950005, 9999, 0, 249965004
Random N=500,4.3e-05, 0, 2878, 8017, 499, 0, 11394
Random N=1000,9.7e-05, 0, 6432, 18733, 999, 0, 26164
Random N=5000,0.000755, 0, 45363, 146457, 4999, 0, 196819
Random N=10000,0.001552, 0, 93275, 303105, 9999, 0, 406379
